NFatura,PreçoUnitario,ValorPedido,Quantidade,Pais,DataFatura,HoraFatura,Ano-mes,MaiorCategoria,MenorCategoria ,Descrição 
549185,0.85,10.2,12,United Kingdom,40640,0.399305555555556,2011-04,Clothes,Tops,PACK OF 20 NAPKINS PANTRY DESIGN
576381,2.95,35.4,12,United Kingdom,40862,0.393055555555556,2011-11,Clothes,Shoes,NATURAL SLATE HEART CHALKBOARD 
551192,1.25,20,16,United Kingdom,40660,0.454166666666667,2011-04,Kitchen,Cutlery,36 PENCILS TUBE SKULLS
573553,7.46,7.46,1,United Kingdom,40847,0.575,2011-10,Garden,Turf,SET 6 SCHOOL MILK BOTTLES IN CRATE
539436,2.51,2.51,1,United Kingdom,40529,0.617361111111111,2010-12,Garden,Hoses,FINE WICKER HEART 
580893,3.95,3.95,1,United Kingdom,40883,0.526388888888889,2011-12,Garden,Hoses,SEWING BOX RETROSPOT DESIGN 
568321,2.1,12.6,6,United Kingdom,40812,0.566666666666667,2011-09,Clothes,Hats,3 TRADITIONAl BISCUIT CUTTERS  SET
552949,4.95,29.7,6,United Kingdom,40675,0.500694444444444,2011-05,Clothes,Tops,BULL DOG BOTTLE OPENER
567461,2.46,44.28,18,United Kingdom,40806,0.521527777777778,2011-09,Household,Curtains,STRAWBERRY CHARLOTTE BAG
542121,1.69,3.38,2,United Kingdom,40568,0.60625,2011-01,Household,Lamps,FAIRY SOAP SOAP HOLDER
566913,0.39,1.56,4,United Kingdom,40801,0.588194444444444,2011-09,Kitchen,Cooking Knives,PACK OF 12 VINTAGE DOILY TISSUES
550477,0.55,0.55,1,United Kingdom,40651,0.584027777777778,2011-04,Household,Lamps,PACK OF 60 DINOSAUR CAKE CASES
538663,12.75,25.5,2,United Kingdom,40525,0.65625,2010-12,Household,Rugs,CAKE STAND 3 TIER MAGIC GARDEN
570715,1.25,30,24,United Kingdom,40828,0.432638888888889,2011-10,Household,Chairs,ICE CREAM PEN LIP GLOSS 
549299,1.65,16.5,10,United Kingdom,40641,0.347222222222222,2011-04,Clothes,Shoes,LUNCH BAG CARS BLUE
559902,1.65,1.65,1,United Kingdom,40737,0.551388888888889,2011-07,Kitchen,Coasters,6 RIBBONS RUSTIC CHARM
537369,4.25,4.25,1,United Kingdom,40518,0.528472222222222,2010-12,Clothes,Tops,ROSE 3 WICK MORRIS BOX CANDLE
564353,2.1,25.2,12,United Kingdom,40779,0.630555555555556,2011-08,Kitchen,Scales,HAND WARMER SCOTTY DOG DESIGN
562455,4.25,25.5,6,United Kingdom,40760,0.438888888888889,2011-08,Household,Rugs,JAM MAKING SET WITH JARS
539451,1.28,1.28,1,United Kingdom,40529,0.707638888888889,2010-12,Clothes,Shoes,12 PENCILS SMALL TUBE RED RETROSPOT
537057,2.95,2.95,1,United Kingdom,40517,0.492361111111111,2010-12,Household,Rugs,PAPER CHAIN KIT 50'S CHRISTMAS 
549568,1.45,34.8,24,United Kingdom,40643,0.63125,2011-04,Clothes,Hats,LAUNDRY 15C METAL SIGN
564758,3.29,3.29,1,United Kingdom,40785,0.44375,2011-08,Clothes,Shoes,PANTRY MAGNETIC  SHOPPING LIST
541424,2.46,2.46,1,United Kingdom,40560,0.747916666666667,2011-01,Household,Chairs,SUMMER BUTTERFLIES BAG CHARM
559000,4.95,9.9,2,United Kingdom,40729,0.510416666666667,2011-07,Household,Curtains,SPOTTY BUNTING
550438,1.25,15,12,United Kingdom,40651,0.511111111111111,2011-04,Kitchen,Cooking Knives,PINK BLUE FELT CRAFT TRINKET BOX
549556,2.55,10.2,4,United Kingdom,40643,0.536805555555556,2011-04,Clothes,Shoes,QUEENS GUARD COFFEE MUG
550474,0.83,0.83,1,United Kingdom,40651,0.581944444444444,2011-04,Kitchen,Cutlery,TRAVEL CARD WALLET SUKI
559317,7.95,7.95,1,United Kingdom,40731,0.585416666666667,2011-07,Clothes,Hats,DOORMAT RED RETROSPOT
545906,2.1,12.6,6,United Kingdom,40610,0.390972222222222,2011-03,Kitchen,Plates,3 PIECE SPACEBOY COOKIE CUTTER SET
568538,7.08,424.8,60,United Kingdom,40813,0.588194444444444,2011-09,Garden,Turf,DOORMAT NEW ENGLAND
575944,0.21,6.3,30,United Kingdom,40860,0.490277777777778,2011-11,Household,Chairs,SLEEPING CAT ERASERS
545797,2.95,2.95,1,United Kingdom,40609,0.511805555555556,2011-03,Kitchen,Plates,SET 12 LAVENDER  BOTANICAL T-LIGHTS
540349,1.65,19.8,12,United Kingdom,40549,0.588194444444444,2011-01,Clothes,Hats,PLASTERS IN TIN VINTAGE PAISLEY 
551174,3.29,3.29,1,United Kingdom,40659,0.709722222222222,2011-04,Garden,Seeds,HOMEMADE JAM SCENTED CANDLES
541592,1.63,9.78,6,United Kingdom,40562,0.630555555555556,2011-01,Household,Curtains,SCOTTIES CHILDRENS APRON
536769,1.25,25,20,United Kingdom,40514,0.615972222222222,2010-12,Clothes,Hats,3D TRADITIONAL CHRISTMAS STICKERS
581166,2.95,2.95,1,United Kingdom,40884,0.613194444444444,2011-12,Kitchen,Cutlery,PAPER CHAIN KIT 50'S CHRISTMAS 
548978,7.95,15.9,2,United Kingdom,40638,0.505555555555556,2011-04,Garden,Turf,DOORMAT NEW ENGLAND
558315,1.65,19.8,12,United Kingdom,40722,0.488888888888889,2011-06,Garden,Hoses,CLOTHES PEGS RETROSPOT PACK 24 
546009,4.25,4.25,1,United Kingdom,40610,0.65625,2011-03,Kitchen,Coasters,AIRLINE BAG VINTAGE TOKYO 78
542835,0.29,6.96,24,United Kingdom,40575,0.479166666666667,2011-02,Garden,Hoses,JASMINE VOTIVE CANDLE
558315,7.95,15.9,2,United Kingdom,40722,0.488888888888889,2011-06,Clothes,Tops,ROUND CAKE TIN VINTAGE RED
541695,8.29,8.29,1,United Kingdom,40563,0.750694444444444,2011-01,Garden,Turf,SET OF 6 SPICE TINS PANTRY DESIGN
551824,1.25,15,12,United Kingdom,40667,0.522222222222222,2011-05,Household,Curtains,SET OF SALT AND PEPPER TOADSTOOLS
553869,2.08,20.8,10,United Kingdom,40682,0.602083333333333,2011-05,Household,Curtains,JUMBO BAG VINTAGE LEAF
566602,0.83,0.83,1,United Kingdom,40799,0.670138888888889,2011-09,Kitchen,Coasters,"LETTER ""M"" BLING KEY RING"
575647,1.65,9.9,6,United Kingdom,40857,0.594444444444444,2011-11,Kitchen,Cutlery,PLASTERS IN TIN WOODLAND ANIMALS
572513,1.45,2.9,2,United Kingdom,40840,0.608333333333333,2011-10,Household,Lamps,SET OF 36 PAISLEY FLOWER DOILIES
542890,2.95,11.8,4,United Kingdom,40575,0.559027777777778,2011-02,Household,Lamps,PAPER BUNTING COLOURED LACE
